Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude_final,Longitude_final
1262,Sino-Ocean Land Holdings,4.6,0.7,20.2,3.5,China,Asia,38.372,117.33
1263,Jacobs Engineering,11,0.4,6.9,7,USA,North America,39.4948,-86.0544
1264,Boston Properties,1.9,0.3,15.5,16,USA,North America,42.9136,-76.7904
1265,CIT Group,4,-0.6,44,9,USA,North America,39.7903,-75.2396
1266,Kotak Mahindra Bank,2.6,0.4,18.1,9.2,India,Asia,25.2379,87.6459
1267,DR Horton,4.7,1,7.3,7.8,USA,North America,41.1973,-74.4857
1268,Family Dollar Stores,9.6,0.4,3.7,6.9,USA,North America,28.2881,-82.238
1269,Analog Devices,2.7,0.6,5.7,13.9,USA,North America,32.6281,-117.0144
1270,Banco Comercial PortuguÃªs,6.3,-1.6,116,2.8,Portugal,Europe,39.4667,-8.5333
1271,Fuji Media Holdings,7.2,0.7,11.4,4,Japan,Asia,36.0269,139.5302
1271,Consol Energy,5.4,0.4,12.7,7.7,USA,North America,40.7288,-73.2495
1273,Cincinnati Financial,4.1,0.4,16.5,7.7,USA,North America,42.2596,-89.064
1275,Goodyear,21,0.2,17,3.4,USA,North America,43.7718,-88.4397
1276,Lotte Chemical,14.1,0.3,9.8,6.5,South Korea,Asia,37.2667,126.7833
1277,United Utilities,2.5,0.5,16,7.1,UK,Europe,53.6344,-1.7489
1278,CJ Corp,15.7,0.2,20.1,3.6,South Korea,Asia,36.44,128.17
1279,Yamana Gold,2.3,0.4,11.8,11,Canada,North America,49.1667,-123.1333
1280,Pirelli & C,7.8,0.5,10,5.3,Italy,Europe,44.3333,9.2167
1280,Randstad Holding,22.5,0,8.3,7.6,The Netherlands,Europe,51.5074,-0.2278
1282,LabCorp,5.7,0.6,6.8,8.5,USA,North America,39.7292,-90.2317
1283,Smith & Nephew,4.2,0.7,5.5,10.2,UK,Europe,51.2803,-0.0816
1284,Golden Agri-Resources,6.1,0.4,13.3,6.1,Singapore,Asia,1.3,103.75
1285,Coca-Cola HBC,9.3,0.3,9.5,10.2,Greece,Europe,35.325,25.0667
1286,Kerry Group,7.7,0.4,7,9.8,Ireland,Europe,52.1088,-7.1963
1287,Nitto Denko,7.3,0.4,7.8,9.6,Japan,Asia,35.3732,136.7108
1288,Huadian Power International,9.4,0.2,26.4,4.8,China,Asia,39.7603,114.2834
1288,Banco Davivienda,2.7,0.4,23.2,6.4,Colombia,South America,1.35,-77.6
1290,WÃ¤rtsilÃ¤,6.2,0.4,6.5,9.2,Finland,Europe,61.0667,28.1833
1291,IDB Holding,10.1,-0.2,32.4,0.1,Israel,Asia,32.4694,35.1536
1291,Actavis,5.9,0.1,14.1,11.7,USA,North America,33.8633,-84.5168
1293,Polyus Gold International,2.8,0.9,5.6,9.8,UK,Europe,53.43,-1.357
1294,Autoliv,8.3,0.5,6.6,6.6,Sweden,Europe,55.6167,13.0833
1295,Red ElÃ©ctrica,2.3,0.6,12,7.5,Spain,Europe,39.8875,4.2611
1296,Saputo,7,0.4,3.7,9.7,Canada,North America,50.6761,-120.3408
1296,Showa Shell Sekiyu,30.3,0,14,2.6,Japan,Asia,38.0183,138.3683
1299,Community Health Sys,14.5,0.3,16.6,4.1,USA,North America,43.9706,-91.2654
1300,City Developments,2.7,0.6,12.8,7.8,Singapore,Asia,1.3,103.8
1301,Zoetis,4.3,0.4,6.3,16.7,USA,North America,32.9272,-96.8804
1302,Hong Leong Financial,2.3,0.4,53.6,4.8,Malaysia,Asia,2.0336,103.3194
1303,Jupiter Telecommunications,4.7,0.5,9.4,8.9,Japan,Asia,31.9078,131.4203
1303,Crown Holdings,8.5,0.6,7.5,5.8,USA,North America,26.2039,-98.3256
1305,PVH,6,0.4,7.8,9.6,USA,North America,42.6844,-73.1166
1306,Bank Leumi,4.7,0.2,100.7,5.1,Israel,Asia,32.8333,35.0667
1306,MediaTek,3.4,0.5,7.2,15.4,Taiwan,Asia,24.0656,120.485
1308,Manila Electric,6.8,0.4,5.3,9.2,Philippines,Asia,14.68,120.53
1309,Israel Corp,11.5,-0.1,15.7,5.7,Israel,Asia,32.0522,34.9511
1309,Fukuoka Financial Group,3,0.3,156.6,4.1,Japan,Asia,33.6167,130.5333
1311,Oil & Gas Development,1.8,1,3.6,8.7,Pakistan,Asia,32.1883,73.0286
1311,Crown Castle International,2.4,0.2,16.1,20.5,USA,North America,40.2323,-75.5344
1312,China Merchants Property,3.3,0.5,17.5,6.1,China,Asia,35.4151,116.5871
1312,TDC,4.6,0.6,11.2,6.4,Denmark,Europe,55.5167,12.2167
1314,AGCO,10,0.5,7.7,5.3,USA,North America,30.4255,-86.6222
1315,Sekisui Chemical,11.7,0.3,9.8,5.5,Japan,Asia,33.6181,130.8472
1316,Obayashi,15,0.1,19.2,3.6,Japan,Asia,33.9511,134.6622
1317,IOI Group,4.9,0.6,7.2,9.6,Malaysia,Asia,1.4528,103.9356
1318,Essar Energy,16.7,-0.6,17.4,2.9,UK,Europe,53.399,-2.276
1319,Tele2,6.7,0.5,6.9,7.4,Sweden,Europe,59.3708,16.5097
1320,Aurubis,17.7,0.5,6.3,3.1,Germany,Europe,53.5358,8.6589
1320,Union Bank of India,4.6,0.3,51.7,2.4,India,Asia,8.5863,76.8976
1322,Jiangsu Yanghe Brewery,2,0.6,2.9,12.4,China,Asia,34.9249,106.1409
1322,Moody's,2.7,0.7,4,11.5,USA,North America,44.2752,-105.4982
1324,Pegatron,29.8,0.2,13.5,3.3,Taiwan,Asia,24.7833,120.9619
1325,Sun Pharma Industries,1.6,0.5,3.1,16,India,Asia,25.8249,87.2983
1325,Taisei,16,0,17.7,3.2,Japan,Asia,39.7017,140.7315
1325,ST Engineering,5.2,0.5,6.5,10.4,Singapore,Asia,1.3,103.85
1325,Joy Global,5.7,0.8,6.2,6.6,USA,North America,38.912,-77.5132
1329,Beijing Entreprises,4.6,0.4,11.5,8.6,Hong Kong,Asia,22.3167,114.1833
1330,Amadeus IT Holdings,3.8,0.7,6.8,11.9,Spain,Europe,37.1167,-3.6
1332,Torchmark,3.6,0.5,18.8,5.6,USA,North America,42.4619,-83.0977
1333,China Longyuan Power,2.7,0.4,17.3,7.2,China,Asia,40.0167,117.0833
1334,Infineon Technologies,5,0.5,7.2,9.3,Germany,Europe,48.1789,10.755
1335,Amphenol,4.3,0.6,5.2,11.6,USA,North America,47.697,-122.2057
1336,First Republic Bank,1.5,0.4,34.4,5,USA,North America,33.7105,-117.9514
1337,GF Securities,1,0.3,12.2,13.9,China,Asia,30.7005,121.0104
1338,GEA Group,7.4,0.4,8.5,6.6,Germany,Europe,48.0683,7.8825
1338,Shimizu,16.1,0,17,2.6,Japan,Asia,40.5531,140.4638
1339,Ball,8.7,0.4,7.5,6.9,USA,North America,33.889,-117.7714
1340,Zions Bancorp,2.5,0.3,55.5,4.7,USA,North America,30.1226,-93.7607
1341,Umicore,16.6,0.3,4.7,5.9,Belgium,Europe,51.1833,5.1167
1342,Wuhan Iron & Steel,16.1,0.2,15.5,4.5,China,Asia,39.5556,116.4292
1343,Odakyu Electric Railway,6.1,0.2,15.9,8.8,Japan,Asia,34.4886,133.9486
1343,US Steel,19.3,-0.1,15.2,2.9,USA,North America,32.8837,-105.9625
1345,Alfresa Holdings,28.2,0.1,13.1,2.7,Japan,Asia,34.64,135.1456
1346,Atos,11.7,0.3,9.3,6.4,France,Europe,43.1947,-0.6056
1347,Agile Property Holdings,4.8,0.8,14.7,4,China,Asia,39.6503,116.0617
1349,Yuanta Financial Holding,1.2,0.4,25.3,5.1,Taiwan,Asia,23.6956,120.3117
1350,Eurasian Natural Resources,6.3,-0.8,20.2,6.8,UK,Europe,53.644,-2.098
1351,Abengoa,10.3,0.2,25.5,1.5,Spain,Europe,28.35,-16.7
1352,DSME,12.5,0.2,15.2,5,South Korea,Asia,35.2208,128.6631
1354,Hyundai Marine & Fire,8.1,0.4,16,2.3,South Korea,Asia,37.1498,127.0771
1355,Host Hotels & Resorts,5.3,0.1,13,12.9,USA,North America,36.4267,-89.0474
1356,MMI Holdings,6.2,0.3,36.8,4,South Africa,Africa,-24.7247,31.0201
1357,Calpine,5.5,0.2,16.5,9.2,USA,North America,47.7574,-122.2864
1358,Henry Schein,8.9,0.3,5.3,7.9,USA,North America,37.3057,-120.4779
1359,Darden Restaurants,8.3,0.4,7,6.4,USA,North America,36.681,-121.7892
1360,Acciona,9.3,0.2,24.9,3.6,Spain,Europe,37.6405,-1.0085
1361,Mitsui Chemicals,17.6,0,15.2,2.3,Japan,Asia,40.7447,141.1579
1361,Paychex,2.3,0.6,7.5,12.4,USA,North America,32.5185,-92.0774
1363,AÃ©roports de Paris,3.5,0.5,12.4,8.4,France,Europe,49.0644,2.1872
1364,Supervalu,34.8,-0.5,11.9,0.9,USA,North America,39.1285,-76.8476
1365,Axis Capital Holdings,3.9,0.5,18.9,5,Bermuda,North America,32.343,-64.832
1365,Universal Health,13.9,0.3,8.2,6.1,USA,North America,38.6886,-104.6829
1367,Rockwell Collins,4.7,0.6,5.3,8.7,USA,North America,42.08,-70.9399
1368,Thai Oil,14.6,0.4,5.6,4.7,Thailand,Asia,18.1865,103.7408
1370,Raymond James Financial,4.2,0.3,22.3,6.7,USA,North America,35.0004,-114.5748
1371,Soho China,2.5,1.7,12.6,4,China,Asia,39.3515,114.6853
1373,Korean Air,11.3,0.2,21.6,2.6,South Korea,Asia,37.2667,126.8333
1374,Dongbu Insurance,8.2,0.3,15.6,2.5,South Korea,Asia,37.8447,127.1502
1375,UCB,4,0.3,11.7,11.7,Belgium,Europe,51.0536,3.7253
1376,Samsung Engineering,10.8,0.5,5.3,4.7,South Korea,Asia,34.6833,127.6833
1378,Gudang Garam,5.2,0.4,4.3,9.8,Indonesia,Asia,1.13,104.0531
1379,AU Optronics,13,-1.9,18.2,3.8,Taiwan,Asia,23.6833,120.4833
1380,Olympus,10.2,-0.6,11.6,6.8,Japan,Asia,33.8886,136.1002
1381,Nippon Paper Industries,12.6,-0.5,18.5,1.9,Japan,Asia,35.9363,137.7831
1382,Check Point Software,1.4,0.6,4.5,10.3,Israel,Asia,32.8056,35.1694
1383,Far Eastern New Century,7.8,0.4,10.9,5.4,Taiwan,Asia,24.6553,121.1514
1384,Commercial Bank of Qatar,1.1,0.6,22,4.5,Qatar,Asia,25.2025,51.5592
1385,Inner Mongolia Rare-Earth,1.8,0.6,2.2,11.8,China,Asia,37.6339,112.8775
1386,JGC,6.7,0.5,6.3,6.7,Japan,Asia,35.4875,138.8077
1387,China Taiping Insurance,8.1,0.1,31.3,3.1,Hong Kong,Asia,22.3364,114.1167
1388,Shenzhen Overseas,3,0.6,11.7,6.7,China,Asia,34.0629,105.3672
1390,AutoNation,15.7,0.3,6.6,5.4,USA,North America,41.0302,-73.6864
1391,Hua Nan Financial,1.6,0.3,65.2,5,Taiwan,Asia,22.8011,120.507
1392,Jabil Circuit,17.6,0.4,8.2,3.9,USA,North America,35.9046,-77.5563
